"spkid","full_name","a","e","i","om","w","q","ad","per.y","data_arc","condition_code","n_obs_used","n_del_obs_used","n_dop_obs_used","H"
3787067,"       (2017 UQ)",1.404,0.2893,23.82,14.16,64.55,0.998,1.81,1.66,155,4,85,,,22.00
3787070,"       (2017 UR)",2.123,0.5255,15.23,22.90,352.18,1.007,3.24,3.09,2,7,105,,,25.10
3787068,"       (2017 US)",0.8306,0.2285,0.91,199.79,357.60,0.641,1.02,0.757,1071,1,133,,,26.20
3787069,"       (2017 UT)",2.448,0.5717,14.36,15.98,1.62,1.049,3.85,3.83,25,7,71,,,23.00
3787071,"       (2017 UU)",2.263,0.5689,6.07,25.40,328.41,0.976,3.55,3.4,6,8,39,,,26.40
3787079,"       (2017 UX)",1.486,0.3378,13.38,20.48,302.38,0.984,1.99,1.81,2,9,19,,,25.30
3787080,"       (2017 UY)",1.117,0.2816,22.79,20.20,270.25,0.803,1.43,1.18,2,8,22,,,26.30
3787081,"       (2017 UZ)",2.503,0.6277,5.95,22.80,313.50,0.932,4.07,3.96,12,8,23,,,25.90
3787082,"       (2017 UA1)",1.495,0.3738,18.72,17.75,91.82,0.936,2.05,1.83,181,4,59,,,22.40
3787083,"       (2017 UB1)",1.384,0.2349,14.73,201.41,207.11,1.059,1.71,1.63,32,7,27,,,25.40
3787084,"       (2017 UC1)",1.171,0.2467,18.64,24.31,231.29,0.882,1.46,1.27,9,7,36,,,22.30
3787087,"       (2017 UD1)",1.13,0.1544,22.21,201.35,261.72,0.955,1.30,1.2,186,3,41,,,24.80
3787085,"       (2017 UE1)",1.722,0.4616,7.65,198.92,129.76,0.927,2.52,2.26,2,9,18,,,26.20
3787100,"       (2017 UF1)",1.024,0.3616,11.23,25.23,244.50,0.654,1.39,1.04,6,7,22,,,26.60
3787086,"       (2017 UG1)",1.819,0.4376,3.86,199.77,190.10,1.023,2.62,2.45,2,8,22,,,27.80
3787088,"       (2017 UH1)",1.542,0.6531,18.11,25.72,102.29,0.535,2.55,1.92,3,8,39,,,26.10
3787095,"       (2017 UJ1)",1.394,0.2448,10.03,29.68,341.44,1.053,1.73,1.65,12,8,31,,,25.30
3787090,"       (2017 UK1)",1.044,0.2026,7.33,199.90,88.69,0.832,1.26,1.07,57,5,23,,,27.10
3787091,"       (2017 UL1)",2.885,0.6855,9.74,197.64,137.22,0.907,4.86,4.9,26,7,25,,,24.70
3787098,"       (2017 UM1)",1.968,0.6535,4.09,198.27,267.48,0.682,3.25,2.76,4,8,43,,,25.90
